"voxel_id","ncsnr","subj_id","x","y","z"
"S1-17-20-39",0.476185858249664,1,17,20,39
"S1-17-20-41",0.685012578964233,1,17,20,41
"S1-17-20-42",0.965168356895447,1,17,20,42
"S1-17-20-43",1.12866926193237,1,17,20,43
"S1-17-20-45",1.38809716701508,1,17,20,45
"S1-17-20-46",1.01130592823029,1,17,20,46
"S1-17-20-48",0.45912891626358,1,17,20,48
"S1-17-20-49",0.496522545814514,1,17,20,49
"S1-17-20-50",0.518127143383026,1,17,20,50
"S1-17-20-51",0.337551176548004,1,17,20,51
"S1-17-21-36",0.57946914434433,1,17,21,36
"S1-17-21-37",0.341276794672012,1,17,21,37
"S1-17-21-38",0.29706197977066,1,17,21,38
"S1-17-21-42",0.876146376132965,1,17,21,42
"S1-17-21-44",0.479195684194565,1,17,21,44
"S1-17-21-45",0.541752636432648,1,17,21,45
"S1-17-21-46",0.333843320608139,1,17,21,46
"S1-17-21-48",0.483118057250977,1,17,21,48
"S1-17-21-49",0.593627750873566,1,17,21,49
"S1-17-21-50",0.4013831615448,1,17,21,50
"S1-17-21-51",0.267089903354645,1,17,21,51
"S1-17-22-36",0.627074539661407,1,17,22,36
"S1-17-22-37",0.500472545623779,1,17,22,37
"S1-17-22-38",0.29410970211029,1,17,22,38
"S1-17-22-42",0.287442654371262,1,17,22,42
"S1-17-22-43",0.472434192895889,1,17,22,43
"S1-17-22-48",0.427508264780045,1,17,22,48
"S1-17-22-49",0.588569223880768,1,17,22,49
"S1-17-22-50",0.372329711914062,1,17,22,50
"S1-17-23-41",0.326860755681992,1,17,23,41
"S1-17-23-42",0.540854394435883,1,17,23,42
"S1-17-23-43",0.390714734792709,1,17,23,43
"S1-17-23-44",0.212774232029915,1,17,23,44
"S1-17-23-46",0.554097473621368,1,17,23,46
"S1-17-23-47",0.270086109638214,1,17,23,47
"S1-17-24-41",0.429852873086929,1,17,24,41
"S1-17-24-42",0.666268467903137,1,17,24,42
"S1-17-24-43",0.247258722782135,1,17,24,43
"S1-17-24-45",0.514912068843842,1,17,24,45
"S1-17-24-46",0.759202837944031,1,17,24,46
"S1-17-24-47",0.453112214803696,1,17,24,47
"S1-17-24-48",0.482983857393265,1,17,24,48
"S1-17-24-49",0.295540809631348,1,17,24,49
"S1-17-25-41",0.515795171260834,1,17,25,41
"S1-17-25-42",0.699680626392365,1,17,25,42
"S1-17-25-45",0.348501831293106,1,17,25,45
"S1-17-25-46",0.551218032836914,1,17,25,46
"S1-17-26-31",0.331883430480957,1,17,26,31
"S1-17-26-41",0.43519139289856,1,17,26,41
"S1-17-26-42",0.550353348255157,1,17,26,42
"S1-17-27-43",0.253246188163757,1,17,27,43
"S1-17-27-45",0.213645219802856,1,17,27,45
"S1-17-28-31",0.288843870162964,1,17,28,31
"S1-17-28-32",0.331277072429657,1,17,28,32
"S1-17-29-31",0.258711576461792,1,17,29,31
"S1-17-29-32",0.25189071893692,1,17,29,32
"S1-17-29-34",0.212445288896561,1,17,29,34
"S1-17-30-30",0.297006636857986,1,17,30,30
"S1-17-30-31",0.2886021733284,1,17,30,31
"S1-17-30-32",0.240574151277542,1,17,30,32
"S1-17-30-33",0.203449979424477,1,17,30,33
"S1-17-30-34",0.205118015408516,1,17,30,34
"S1-17-31-31",0.291982591152191,1,17,31,31
"S1-17-31-32",0.315900564193726,1,17,31,32
"S1-17-31-33",0.298020958900452,1,17,31,33
"S1-17-31-34",0.218931645154953,1,17,31,34
"S1-17-32-31",0.211421206593513,1,17,32,31
"S1-17-32-32",0.320904523134232,1,17,32,32
"S1-17-32-33",0.296067744493484,1,17,32,33
"S1-17-32-34",0.210400551557541,1,17,32,34
"S1-17-33-32",0.217556998133659,1,17,33,32
"S1-17-33-33",0.247469708323479,1,17,33,33
"S1-18-13-39",0.264263808727264,1,18,13,39
"S1-18-13-40",0.490395218133926,1,18,13,40
"S1-18-14-37",0.21721313893795,1,18,14,37
"S1-18-14-39",0.299200505018234,1,18,14,39
"S1-18-14-40",0.514785349369049,1,18,14,40
"S1-18-14-43",0.320552349090576,1,18,14,43
"S1-18-14-44",0.381894111633301,1,18,14,44
"S1-18-14-45",0.371440142393112,1,18,14,45
"S1-18-14-48",0.379603385925293,1,18,14,48
"S1-18-15-36",0.339137852191925,1,18,15,36
"S1-18-15-37",0.321427702903748,1,18,15,37
"S1-18-15-39",0.275892317295074,1,18,15,39
"S1-18-15-40",0.414769649505615,1,18,15,40
"S1-18-15-42",0.416232049465179,1,18,15,42
"S1-18-15-43",0.490256547927857,1,18,15,43
