"model_string","metric","score","effective_dimensions","training"
"gmlp_s16_224_classification","CRSA",0.402046371536414,93.8968271552275,"ImageNet+"
"semnasnet_100_classification","CRSA",0.404970484242164,208.03006560499,"ImageNet+"
"mobilenetv3_large_100_classification","CRSA",0.412016541417,19.6624087450168,"ImageNet+"
"inception_v3_classification","CRSA",0.416620290720153,245.421018730732,"ImageNet+"
"nfnet_l0_classification","CRSA",0.417204964333812,28.4258990189993,"ImageNet+"
"hardcorenas_a_classification","CRSA",0.421924612226752,35.3884458725116,"ImageNet+"
"efficientnet_b1_classification","CRSA",0.422370289084752,273.091116968325,"ImageNet+"
"levit_128_classification","CRSA",0.424757505187661,102.000573966222,"ImageNet+"
"efficientnet_b3_classification","CRSA",0.430582847816565,229.858747908059,"ImageNet+"
"hardcorenas_f_classification","CRSA",0.435452821789894,14.6879043336388,"ImageNet+"
"shufflenet_v2_x1_0_random","WRSA",0.0484111170014511,1.66969422337236,"Untrained"
"mobilenetv3_large_100_random","WRSA",0.0570721362434575,41.643292908151,"Untrained"
"regnetx_064_random","WRSA",0.0753292879536618,22.5497882973019,"Untrained"
"resnet152_random","WRSA",0.0753971550785051,3.06062655195828,"Untrained"
"gmixer_24_224_random","WRSA",0.0782555879401682,60.3061318653506,"Untrained"
"convmixer_768_32_random","WRSA",0.0823022326917199,11.4946758613964,"Untrained"
"efficientnet_b1_random","WRSA",0.084832218326512,1.74308268900045,"Untrained"
"resnet101_random","WRSA",0.0856224005472952,3.91299363484683,"Untrained"
"tnt_s_patch16_224_random","WRSA",0.0893335210621157,28.3741137274253,"Untrained"
"semnasnet_100_random","WRSA",0.0895982684190234,17.4372428173144,"Untrained"
"resnet50_random","WRSA",0.0927240565216247,5.19030817243131,"Untrained"
"pit_ti_224_random","WRSA",0.0930978601743859,5.0252894027191,"Untrained"
"nfnet_l0_random","WRSA",0.093717142706907,2.38856801716959,"Untrained"
"poolformer_s36_random","WRSA",0.0942273195435448,26.8568914229598,"Untrained"
"levit_128_random","WRSA",0.0953406106613421,1.23523676893835,"Untrained"
"convit_tiny_random","WRSA",0.0962812794593525,17.4851595557556,"Untrained"
"coat_lite_tiny_random","WRSA",0.096478006812647,46.2839425298534,"Untrained"
"vit_tiny_patch16_224_random","WRSA",0.0967475017787395,27.1563410141065,"Untrained"
"pit_b_224_random","WRSA",0.0977833412839977,10.5720922758025,"Untrained"
"resmlp_big_24_224_random","WRSA",0.0982949004527945,21.7479600925504,"Untrained"
"mobilenet_v2_random","WRSA",0.0998487672642903,22.036104450052,"Untrained"
"crossvit_base_240_random","WRSA",0.10021241534237,15.965976983789,"Untrained"
"resmlp_24_224_random","WRSA",0.100697672157939,21.7855393471696,"Untrained"
"resmlp_36_224_random","WRSA",0.100966158828301,22.4517804042224,"Untrained"
"convnext_base_random","WRSA",0.101573748020998,30.427905309768,"Untrained"
"efficientnet_b3_random","WRSA",0.101986587329274,1.71793058889747,"Untrained"
"mixer_b16_224_random","WRSA",0.10264415578698,83.6356973118149,"Untrained"
"autoencoding_taskonomy","WRSA",0.103054515047104,37.4317786619831,"Taskonomy"
"resmlp_12_224_random","WRSA",0.10305792347042,23.8681332185534,"Untrained"
"vit_small_patch32_224_random","WRSA",0.105929944355862,21.6982453899142,"Untrained"
"vit_small_patch16_224_random","WRSA",0.106113516154755,25.0928601775522,"Untrained"
"xcit_nano_12_p16_224_random","WRSA",0.106375443302492,1.23213766316881,"Untrained"
"convnext_large_random","WRSA",0.106915540208708,32.7980909226976,"Untrained"
"eca_nfnet_l0_random","WRSA",0.108979729706682,1.67663598890862,"Untrained"
"inception_v3_random","WRSA",0.109487186892379,3.08810236460908,"Untrained"
"swin_tiny_patch4_window7_224_random","WRSA",0.110466715880929,22.21884337856,"Untrained"
"swin_base_patch4_window7_224_random","WRSA",0.110710114465379,18.0993349466811,"Untrained"
"gmlp_s16_224_random","WRSA",0.111295995524232,38.4156517827836,"Untrained"
"deit_base_patch16_224_random","WRSA",0.111822031413063,21.0676717599046,"Untrained"
"resnet18_random","WRSA",0.112547105325948,7.95688624244778,"Untrained"
"mixer_l16_224_random","WRSA",0.112686206450459,105.430729304293,"Untrained"
"vit_base_patch16_224_random","WRSA",0.113179556685399,22.2809314059147,"Untrained"
"ghostnet_100_random","WRSA",0.114032100524357,1.37338719859353,"Untrained"
"hardcorenas_f_random","WRSA",0.114184934575579,1.22598567416187,"Untrained"
"seresnext50_32x4d_random","WRSA",0.115083793325796,31.3454509499063,"Untrained"
"regnety_064_random","WRSA",0.115307269900153,1.99148831192305,"Untrained"
"swin_large_patch4_window7_224_random","WRSA",0.11547264488855,21.4497991314152,"Untrained"
"mnasnet1_0_random","WRSA",0.115479322111051,12.9776122251692,"Untrained"
"vit_base_patch32_224_random","WRSA",0.116324585367619,25.0963095857248,"Untrained"
"convit_base_random","WRSA",0.117913466217995,15.2474112932841,"Untrained"
"keypoints2d_taskonomy","WRSA",0.118008558924159,1.19655279054977,"Taskonomy"
"dla34_random","WRSA",0.118052737570364,10.6555448013016,"Untrained"
"squeezenet1_0_random","WRSA",0.12147117888474,15.6801937722904,"Untrained"
"vgg16_random","WRSA",0.122278165457196,10.5366573014252,"Untrained"
"vit_large_patch16_224_random","WRSA",0.122540426652489,13.3191566980288,"Untrained"
"visformer_small_random","WRSA",0.123006259521695,8.57903159795676,"Untrained"
"random_weights_taskonomy","WRSA",0.124592851008857,25.306011764893,"Taskonomy"
"cspresnet50_random","WRSA",0.130713126173613,25.2511107726524,"Untrained"
"densenet121_random","WRSA",0.131889290863765,1.29701215373783,"Untrained"
"alexnet_random","WRSA",0.133154536096829,8.81411003458734,"Untrained"
"skresnext50_32x4d_random","WRSA",0.1345556901375,18.6674735473222,"Untrained"
"xcit_nano_12_p8_224_random","WRSA",0.137995415630422,1.93375904405301,"Untrained"
"hardcorenas_a_random","WRSA",0.140216063709411,1.70406422526726,"Untrained"
"denoising_taskonomy","WRSA",0.142459039420514,3.1352152934833,"Taskonomy"
"xception_random","WRSA",0.150478535269003,23.2136406819758,"Untrained"
"nonfixated_pose_taskonomy","WRSA",0.153339096670095,241.548632536431,"Taskonomy"
"jigsaw_taskonomy","WRSA",0.155103150115625,320.391453731628,"Taskonomy"
"googlenet_random","WRSA",0.160861661858028,3.91194737986208,"Untrained"
