"model","display_name","train_task","contrast","subj_id","metric","score","rank"
"ResNet50-JigSaw-Goyal19","JigSaw-Goyal19","selfsupervised","Non-Contrastive","2","crsa",0.260295671544137,1
"ResNet50-JigSaw-Goyal19","JigSaw-Goyal19","selfsupervised","Non-Contrastive","5","crsa",0.257315807255221,1
"ResNet50-JigSaw-Goyal19","JigSaw-Goyal19","selfsupervised","Non-Contrastive","7","crsa",0.252809890790805,1
"ResNet50-JigSaw-P100","JigSaw-P100","selfsupervised","Non-Contrastive","1","crsa",0.271337783741542,3
"ResNet50-JigSaw-P100","JigSaw-P100","selfsupervised","Non-Contrastive","2","crsa",0.274673040114126,3
"ResNet50-JigSaw-P100","JigSaw-P100","selfsupervised","Non-Contrastive","5","crsa",0.260132963633404,3
"ResNet50-JigSaw-P100","JigSaw-P100","selfsupervised","Non-Contrastive","7","crsa",0.260520106076132,3
"ResNet50-MoCoV2-BS256","MoCoV2","selfsupervised","Contrastive","1","crsa",0.267110029087105,1
"ResNet50-MoCoV2-BS256","MoCoV2","selfsupervised","Contrastive","2","crsa",0.266185488218769,1
"ResNet50-MoCoV2-BS256","MoCoV2","selfsupervised","Contrastive","5","crsa",0.275461285327101,1
"ResNet50-MoCoV2-BS256","MoCoV2","selfsupervised","Contrastive","7","crsa",0.253259539030005,1
"ResNet50-PIRL","PIRL","selfsupervised","Contrastive","1","crsa",0.345848369049775,2
"ResNet50-PIRL","PIRL","selfsupervised","Contrastive","2","crsa",0.361110564161531,2
"ResNet50-PIRL","PIRL","selfsupervised","Contrastive","5","crsa",0.373911590304203,2
"ResNet50-PIRL","PIRL","selfsupervised","Contrastive","7","crsa",0.338279565088804,2
"ResNet50-RotNet","RotNet","selfsupervised","Non-Contrastive","2","crsa",0.243869397239712,2
"ResNet50-RotNet","RotNet","selfsupervised","Non-Contrastive","5","crsa",0.234970836805007,2
"ResNet50-RotNet","RotNet","selfsupervised","Non-Contrastive","7","crsa",0.233145888913087,2
"ResNet50-RotNet","RotNet","selfsupervised","Non-Contrastive","1","crsa",0.240528760616503,2
"ResNet50-SimCLR","SimCLR","selfsupervised","Contrastive","2","crsa",0.372517631091287,6
"ResNet50-SimCLR","SimCLR","selfsupervised","Contrastive","5","crsa",0.366696195980286,6
"ResNet50-SimCLR","SimCLR","selfsupervised","Contrastive","1","crsa",0.361053328048899,6
"ResNet50-SimCLR","SimCLR","selfsupervised","Contrastive","7","crsa",0.346211602037494,6
"ResNet50-SwAV-BS4096-2x224+6x96","SwAV","selfsupervised","Contrastive","5","crsa",0.329288730583657,4
"ResNet50-SwAV-BS4096-2x224+6x96","SwAV","selfsupervised","Contrastive","1","crsa",0.334218641403907,4
"ResNet50-SwAV-BS4096-2x224+6x96","SwAV","selfsupervised","Contrastive","2","crsa",0.354271066580518,4
"ResNet50-SwAV-BS4096-2x224+6x96","SwAV","selfsupervised","Contrastive","7","crsa",0.332036686679909,4
"ResNet50-BarlowTwins-BS2048","BarlowTwins","selfsupervised","Contrastive","1","wrsa",0.672072422111017,3
"ResNet50-BarlowTwins-BS2048","BarlowTwins","selfsupervised","Contrastive","2","wrsa",0.690609719140772,3
"ResNet50-BarlowTwins-BS2048","BarlowTwins","selfsupervised","Contrastive","7","wrsa",0.618582352064345,3
"ResNet50-BarlowTwins-BS2048","BarlowTwins","selfsupervised","Contrastive","5","wrsa",0.735353381487183,3
"ResNet50-ClusterFit-16K-RotNet","ClusterFit-16K-RotNet","selfsupervised","Non-Contrastive","1","wrsa",0.622934829252028,4
"ResNet50-ClusterFit-16K-RotNet","ClusterFit-16K-RotNet","selfsupervised","Non-Contrastive","2","wrsa",0.626662295101041,4
"ResNet50-ClusterFit-16K-RotNet","ClusterFit-16K-RotNet","selfsupervised","Non-Contrastive","7","wrsa",0.57964967043934,4
"ResNet50-ClusterFit-16K-RotNet","ClusterFit-16K-RotNet","selfsupervised","Non-Contrastive","5","wrsa",0.69188020353654,4
"ResNet50-DeepClusterV2-2x224+6x96","DeepClusterV2","selfsupervised","Contrastive","1","wrsa",0.682572570740495,5
"ResNet50-DeepClusterV2-2x224+6x96","DeepClusterV2","selfsupervised","Contrastive","2","wrsa",0.707397973282612,5
"ResNet50-DeepClusterV2-2x224+6x96","DeepClusterV2","selfsupervised","Contrastive","5","wrsa",0.741963761238569,5
"ResNet50-DeepClusterV2-2x224+6x96","DeepClusterV2","selfsupervised","Contrastive","7","wrsa",0.627582098396483,5
"ResNet50-JigSaw-Goyal19","JigSaw-Goyal19","selfsupervised","Non-Contrastive","7","wrsa",0.5145577947521,1
"ResNet50-JigSaw-Goyal19","JigSaw-Goyal19","selfsupervised","Non-Contrastive","1","wrsa",0.563703585062325,1
"ResNet50-JigSaw-Goyal19","JigSaw-Goyal19","selfsupervised","Non-Contrastive","2","wrsa",0.574257419154783,1
"ResNet50-JigSaw-Goyal19","JigSaw-Goyal19","selfsupervised","Non-Contrastive","5","wrsa",0.606653755592837,1
"ResNet50-JigSaw-P100","JigSaw-P100","selfsupervised","Non-Contrastive","1","wrsa",0.568643264061146,3
"ResNet50-JigSaw-P100","JigSaw-P100","selfsupervised","Non-Contrastive","2","wrsa",0.603012646310314,3
"ResNet50-JigSaw-P100","JigSaw-P100","selfsupervised","Non-Contrastive","7","wrsa",0.535564137346169,3
"ResNet50-JigSaw-P100","JigSaw-P100","selfsupervised","Non-Contrastive","5","wrsa",0.6015271348747,3
"ResNet50-MoCoV2-BS256","MoCoV2","selfsupervised","Contrastive","1","wrsa",0.598127218011987,1
"ResNet50-MoCoV2-BS256","MoCoV2","selfsupervised","Contrastive","2","wrsa",0.620862261844017,1
"ResNet50-MoCoV2-BS256","MoCoV2","selfsupervised","Contrastive","5","wrsa",0.670108755434349,1
"ResNet50-MoCoV2-BS256","MoCoV2","selfsupervised","Contrastive","7","wrsa",0.551053761190361,1
"ResNet50-PIRL","PIRL","selfsupervised","Contrastive","2","wrsa",0.6866588816342,2
"ResNet50-PIRL","PIRL","selfsupervised","Contrastive","1","wrsa",0.655836796013585,2
"ResNet50-PIRL","PIRL","selfsupervised","Contrastive","5","wrsa",0.739899931442389,2
"ResNet50-PIRL","PIRL","selfsupervised","Contrastive","7","wrsa",0.606578807229276,2
"ResNet50-RotNet","RotNet","selfsupervised","Non-Contrastive","1","wrsa",0.559212203828197,2
"ResNet50-RotNet","RotNet","selfsupervised","Non-Contrastive","2","wrsa",0.551528191301141,2
"ResNet50-RotNet","RotNet","selfsupervised","Non-Contrastive","7","wrsa",0.522563801870158,2
"ResNet50-RotNet","RotNet","selfsupervised","Non-Contrastive","5","wrsa",0.654944857703895,2
"ResNet50-SimCLR","SimCLR","selfsupervised","Contrastive","2","wrsa",0.721333311256491,6
"ResNet50-SimCLR","SimCLR","selfsupervised","Contrastive","1","wrsa",0.688471333296127,6
"ResNet50-SimCLR","SimCLR","selfsupervised","Contrastive","5","wrsa",0.764449764204429,6
"ResNet50-SimCLR","SimCLR","selfsupervised","Contrastive","7","wrsa",0.623638645705572,6
"ResNet50-SwAV-BS4096-2x224+6x96","SwAV","selfsupervised","Contrastive","1","wrsa",0.66197732181153,4
"ResNet50-SwAV-BS4096-2x224+6x96","SwAV","selfsupervised","Contrastive","2","wrsa",0.694111279453085,4
"ResNet50-SwAV-BS4096-2x224+6x96","SwAV","selfsupervised","Contrastive","5","wrsa",0.759858534256455,4
"ResNet50-SwAV-BS4096-2x224+6x96","SwAV","selfsupervised","Contrastive","7","wrsa",0.618775256295236,4
"resnet50","Supervised (Reference)","classification","Category-Supervised","1","crsa",0.382745538265719,1
"resnet50","Supervised (Reference)","classification","Category-Supervised","2","crsa",0.391785399369335,1
"resnet50","Supervised (Reference)","classification","Category-Supervised","5","crsa",0.386445295401704,1
"resnet50","Supervised (Reference)","classification","Category-Supervised","7","crsa",0.354549385610477,1
"resnet50","Supervised (Reference)","classification","Category-Supervised","1","wrsa",0.678978083687804,1
"resnet50","Supervised (Reference)","classification","Category-Supervised","2","wrsa",0.701560095682888,1
