"model_string","training","depth_bin","metric","score"
"crossvit_base_240_classification","Trained",0.85,"cRSA",0.175313424398196
"crossvit_base_240_classification","Trained",0.85,"veRSA",0.576081340145368
"crossvit_base_240_classification","Trained",0.9,"cRSA",0.142882652178932
"crossvit_base_240_classification","Trained",0.9,"veRSA",0.558738741418471
"crossvit_base_240_classification","Trained",0.95,"cRSA",0.108978547856524
"crossvit_base_240_classification","Trained",0.95,"veRSA",0.504739953768804
"crossvit_base_240_classification","Trained",1,"cRSA",0.0976924078954203
"crossvit_base_240_classification","Trained",1,"veRSA",0.302163406247934
"crossvit_base_240_random","Untrained",0.55,"cRSA",0.0499631302899175
"crossvit_base_240_random","Untrained",0.55,"veRSA",0.0956629192274699
"crossvit_base_240_random","Untrained",0.6,"cRSA",0.0514469282671544
"crossvit_base_240_random","Untrained",0.6,"veRSA",0.0752296391464904
"crossvit_base_240_random","Untrained",0.65,"cRSA",0.0493637267659124
"crossvit_base_240_random","Untrained",0.65,"veRSA",0.0618933690571787
"crossvit_base_240_random","Untrained",0.7,"cRSA",0.0553775126140334
"crossvit_base_240_random","Untrained",0.7,"veRSA",0.0723896931924462
"crossvit_base_240_random","Untrained",0.75,"cRSA",0.056850143017465
"crossvit_base_240_random","Untrained",0.75,"veRSA",0.101346180221261
"crossvit_base_240_random","Untrained",0.8,"cRSA",0.0568883687755795
"crossvit_base_240_random","Untrained",0.8,"veRSA",0.106360136365342
"crossvit_base_240_random","Untrained",0.85,"cRSA",0.0581789155687946
"crossvit_base_240_random","Untrained",0.85,"veRSA",0.108021298311968
"crossvit_base_240_random","Untrained",0.9,"cRSA",0.0573945744278187
"crossvit_base_240_random","Untrained",0.9,"veRSA",0.106105078623275
"crossvit_base_240_random","Untrained",0.95,"cRSA",0.0452094060735313
"crossvit_base_240_random","Untrained",0.95,"veRSA",0.052096393517525
"crossvit_base_240_random","Untrained",1,"cRSA",0.0498304651140619
"crossvit_base_240_random","Untrained",1,"veRSA",0.0603016969785594
"cspresnet50_classification","Trained",0.55,"cRSA",0.18431908382513
"cspresnet50_classification","Trained",0.55,"veRSA",0.442413375776836
"cspresnet50_classification","Trained",0.6,"cRSA",0.202420311277432
"cspresnet50_classification","Trained",0.6,"veRSA",0.514627897012619
"cspresnet50_classification","Trained",0.65,"cRSA",0.19722122931386
"cspresnet50_classification","Trained",0.65,"veRSA",0.532025328108238
"cspresnet50_classification","Trained",0.7,"cRSA",0.218201880948562
"cspresnet50_classification","Trained",0.7,"veRSA",0.559125686217509
"cspresnet50_classification","Trained",0.75,"cRSA",0.233682147659313
"cspresnet50_classification","Trained",0.75,"veRSA",0.602405390782103
"cspresnet50_classification","Trained",0.8,"cRSA",0.23907729586587
"cspresnet50_classification","Trained",0.8,"veRSA",0.569084045903253
"cspresnet50_classification","Trained",0.85,"cRSA",0.321749314500649
"cspresnet50_classification","Trained",0.85,"veRSA",0.64610729088985
"cspresnet50_classification","Trained",0.9,"cRSA",0.325226143243493
"cspresnet50_classification","Trained",0.9,"veRSA",0.670776375442984
"cspresnet50_classification","Trained",0.95,"cRSA",0.301123021788835
"cspresnet50_classification","Trained",0.95,"veRSA",0.677659297477352
"cspresnet50_classification","Trained",1,"cRSA",0.241623299940912
"cspresnet50_classification","Trained",1,"veRSA",0.586126111846207
"cspresnet50_random","Untrained",0.55,"cRSA",0.0399480775330274
"cspresnet50_random","Untrained",0.55,"veRSA",0.128700802157714
"cspresnet50_random","Untrained",0.6,"cRSA",0.0402178575511085
"cspresnet50_random","Untrained",0.6,"veRSA",0.131782719515687
"cspresnet50_random","Untrained",0.65,"cRSA",0.0404829841157552
"cspresnet50_random","Untrained",0.65,"veRSA",0.127899997197356
"cspresnet50_random","Untrained",0.7,"cRSA",0.0400683724489216
"cspresnet50_random","Untrained",0.7,"veRSA",0.135716122044648
"cspresnet50_random","Untrained",0.75,"cRSA",0.0381401425935317
"cspresnet50_random","Untrained",0.75,"veRSA",0.124557023939207
"cspresnet50_random","Untrained",0.8,"cRSA",0.0417422937753174
"cspresnet50_random","Untrained",0.8,"veRSA",0.129644304450459
"cspresnet50_random","Untrained",0.85,"cRSA",0.0392041879592941
"cspresnet50_random","Untrained",0.85,"veRSA",0.132820732891452
"cspresnet50_random","Untrained",0.9,"cRSA",0.0359475645585108
"cspresnet50_random","Untrained",0.9,"veRSA",0.133313223275632
"cspresnet50_random","Untrained",0.95,"cRSA",0.0351645833024077
"cspresnet50_random","Untrained",0.95,"veRSA",0.126819562828521
"cspresnet50_random","Untrained",1,"cRSA",0.0353666336710893
"cspresnet50_random","Untrained",1,"veRSA",0.117161979263465
"deit_base_patch16_224_classification","Trained",0.55,"cRSA",0.202820459077368
"deit_base_patch16_224_classification","Trained",0.55,"veRSA",0.47560749520837
"deit_base_patch16_224_classification","Trained",0.6,"cRSA",0.158092145269304
"deit_base_patch16_224_classification","Trained",0.6,"veRSA",0.478001743764971
"deit_base_patch16_224_classification","Trained",0.65,"cRSA",0.230438757356893
"deit_base_patch16_224_classification","Trained",0.65,"veRSA",0.574603801145875
"deit_base_patch16_224_classification","Trained",0.7,"cRSA",0.197002520829638
"deit_base_patch16_224_classification","Trained",0.7,"veRSA",0.542569580113466
"deit_base_patch16_224_classification","Trained",0.75,"cRSA",0.2284407658642
"deit_base_patch16_224_classification","Trained",0.75,"veRSA",0.605815777262739
"deit_base_patch16_224_classification","Trained",0.8,"cRSA",0.209855307245827
"deit_base_patch16_224_classification","Trained",0.8,"veRSA",0.549572173093001
"deit_base_patch16_224_classification","Trained",0.85,"cRSA",0.16363880519123
"deit_base_patch16_224_classification","Trained",0.85,"veRSA",0.541073545815075
"deit_base_patch16_224_classification","Trained",0.9,"cRSA",0.179707066000393
"deit_base_patch16_224_classification","Trained",0.9,"veRSA",0.603971863469387
"deit_base_patch16_224_classification","Trained",0.95,"cRSA",0.1681477808429
"deit_base_patch16_224_classification","Trained",0.95,"veRSA",0.532347276811825
"deit_base_patch16_224_classification","Trained",1,"cRSA",0.155979701767316
"deit_base_patch16_224_classification","Trained",1,"veRSA",0.554367900036955
"deit_base_patch16_224_random","Untrained",0.55,"cRSA",0.0588694105779425
"deit_base_patch16_224_random","Untrained",0.55,"veRSA",0.102485802048438
"deit_base_patch16_224_random","Untrained",0.6,"cRSA",0.0560483218971712
"deit_base_patch16_224_random","Untrained",0.6,"veRSA",0.0999658796252331
"deit_base_patch16_224_random","Untrained",0.65,"cRSA",0.0614219865117069
"deit_base_patch16_224_random","Untrained",0.65,"veRSA",0.117107236457695
"deit_base_patch16_224_random","Untrained",0.7,"cRSA",0.0545309823087803
"deit_base_patch16_224_random","Untrained",0.7,"veRSA",0.0986995326368966
"deit_base_patch16_224_random","Untrained",0.75,"cRSA",0.0600808186876511
"deit_base_patch16_224_random","Untrained",0.75,"veRSA",0.11236851402983
"deit_base_patch16_224_random","Untrained",0.8,"cRSA",0.0530253293459758
"deit_base_patch16_224_random","Untrained",0.8,"veRSA",0.103228589590751
"deit_base_patch16_224_random","Untrained",0.85,"cRSA",0.050297999715833
"deit_base_patch16_224_random","Untrained",0.85,"veRSA",0.0986425924259426
"deit_base_patch16_224_random","Untrained",0.9,"cRSA",0.0575069274724214
"deit_base_patch16_224_random","Untrained",0.9,"veRSA",0.112143446605263
"deit_base_patch16_224_random","Untrained",0.95,"cRSA",0.0534961598822251
"deit_base_patch16_224_random","Untrained",0.95,"veRSA",0.10079680528283
"deit_base_patch16_224_random","Untrained",1,"cRSA",0.0548240268538389
"deit_base_patch16_224_random","Untrained",1,"veRSA",0.0845138857879375
"densenet121_classification","Trained",0.55,"cRSA",0.188198103667726
"densenet121_classification","Trained",0.55,"veRSA",0.561942024765738
"densenet121_classification","Trained",0.6,"cRSA",0.161232100009297
"densenet121_classification","Trained",0.6,"veRSA",0.539055772761948
"densenet121_classification","Trained",0.65,"cRSA",0.159853296134524
"densenet121_classification","Trained",0.65,"veRSA",0.556693727141211
"densenet121_classification","Trained",0.7,"cRSA",0.134743164619048
"densenet121_classification","Trained",0.7,"veRSA",0.539525919057574
"densenet121_classification","Trained",0.75,"cRSA",0.212645435915133
"densenet121_classification","Trained",0.75,"veRSA",0.597826683656353
"densenet121_classification","Trained",0.8,"cRSA",0.299538216699589
"densenet121_classification","Trained",0.8,"veRSA",0.626393961070934
"densenet121_classification","Trained",0.85,"cRSA",0.275385967183215
"densenet121_classification","Trained",0.85,"veRSA",0.594944328314959
"densenet121_classification","Trained",0.9,"cRSA",0.257440087065496
"densenet121_classification","Trained",0.9,"veRSA",0.562300579854252
"densenet121_classification","Trained",0.95,"cRSA",0.254757550534475
"densenet121_classification","Trained",0.95,"veRSA",0.552531221632804
"densenet121_classification","Trained",1,"cRSA",0.286305873758625
"densenet121_classification","Trained",1,"veRSA",0.576645648435662
"densenet121_random","Untrained",0.55,"cRSA",0.045927824158995
"densenet121_random","Untrained",0.55,"veRSA",0.105065467349201
"densenet121_random","Untrained",0.6,"cRSA",0.0458871605578064
"densenet121_random","Untrained",0.6,"veRSA",0.108747620123102
"densenet121_random","Untrained",0.65,"cRSA",0.0458777602304508
"densenet121_random","Untrained",0.65,"veRSA",0.110117672515429
