voxel_id,subj_id,ncsnr,OTC,early,ventral,midventral,lateral,midlateral,parietal,midparietal,FFA-1,FFA-2,OFA,EBA,FBA-1,FBA-2,OPA,PPA,VWFA-1,VWFA-2,OWFA
S1-15-23-51,1,0.245818629860878,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1-15-24-41,1,0.3258420526981354,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-24-42,1,0.5633788108825684,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-24-43,1,0.24221853911876678,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-24-45,1,0.7633864283561707,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-24-46,1,0.8167052865028381,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-24-47,1,0.8080321550369263,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-24-48,1,0.5507094264030457,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-24-49,1,0.38220930099487305,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-24-50,1,0.3041020333766937,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1-15-24-51,1,0.30319032073020935,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1-15-25-41,1,0.3843318521976471,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-25-42,1,0.4848879277706146,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-25-43,1,0.3207228183746338,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-25-44,1,0.4283897280693054,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-25-45,1,0.5106316208839417,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-25-49,1,0.4711097478866577,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-26-41,1,0.34123435616493225,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
