var1,var2,correlation,metric
RegNet-64Gf-SEER-INFT_seer,yolov5l_yolo,0.4581511363515749,crsa
RegNet-64Gf-SEER-INFT_seer,resnet152_classification,0.4415540914677776,crsa
RegNet-64Gf-SEER-INFT_seer,visformer_small_classification,0.456281677464848,crsa
RegNet-64Gf-SEER-INFT_seer,mixer_l16_224_in21k_classification,0.4072116544386516,crsa
RegNet-64Gf-SEER-INFT_seer,efficientnet_b3_random,0.0008731285089920237,crsa
RegNet-64Gf-SEER-INFT_seer,nf_resnet50_random,0.1624966166241268,crsa
RegNet-64Gf-SEER-INFT_seer,DPT_Hybrid_monoculardepth,0.568933962360537,crsa
RegNet-64Gf-SEER-INFT_seer,dino_vitb16_selfsupervised,0.5008642142371278,crsa
RegNet-64Gf-SEER-INFT_seer,alexnet_random,0.057689202308665095,crsa
RegNet-64Gf-SEER-INFT_seer,resnet50_random,0.013266336201879133,crsa
RegNet-64Gf-SEER-INFT_seer,gmixer_24_224_classification,0.5576259390166269,crsa
RegNet-64Gf-SEER-INFT_seer,hardcorenas_f_random,0.023692702686580098,crsa
RegNet-64Gf-SEER-INFT_seer,ResNet50-NPID-4KNegative_selfsupervised,0.41258468704581724,crsa
RegNet-64Gf-SEER-INFT_seer,ResNet50-SimCLR_selfsupervised,0.5165704798598526,crsa
RegNet-64Gf-SEER-INFT_seer,convmixer_768_32_classification,0.4922940427907362,crsa
RegNet-64Gf-SEER-INFT_seer,vit_base_patch32_224_classification,0.5668625255952241,crsa
RegNet-64Gf-SEER-INFT_seer,vgg16_classification,0.6130243777806798,crsa
RegNet-64Gf-SEER-INFT_seer,crossvit_base_240_random,0.08059423233501341,crsa
RegNet-64Gf-SEER-INFT_seer,convit_base_random,0.077953806492675,crsa
RegNet-64Gf-SEER-INFT_seer,convnext_large_random,0.09523171912107191,crsa
RegNet-64Gf-SEER-INFT_seer,eca_nfnet_l0_random,0.12339223897056993,crsa
RegNet-64Gf-SEER-INFT_seer,vanishing_point_taskonomy,0.06492434695750776,crsa
RegNet-64Gf-SEER-INFT_seer,googlenet_classification,0.4937380120230992,crsa
RegNet-64Gf-SEER-INFT_seer,nonfixated_pose_taskonomy,0.06769601216749485,crsa
RegNet-64Gf-SEER-INFT_seer,vit_base_patch16_224_in21k_classification,0.5312621684526284,crsa
RegNet-64Gf-SEER-INFT_seer,pit_ti_224_random,0.04982865310547046,crsa
RegNet-64Gf-SEER-INFT_seer,hardcorenas_f_classification,0.6594303739259143,crsa
RegNet-64Gf-SEER-INFT_seer,ResNet50-PIRL_selfsupervised,0.5158341964406356,crsa
RegNet-64Gf-SEER-INFT_seer,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,0.55385985020455,crsa
RegNet-64Gf-SEER-INFT_seer,resmlp_12_224_random,0.08516252894303188,crsa
RegNet-64Gf-SEER-INFT_seer,egomotion_taskonomy,0.11096150198011417,crsa
RegNet-64Gf-SEER-INFT_seer,dino_resnet50_selfsupervised,0.5698475470984865,crsa
RegNet-64Gf-SEER-INFT_seer,mobilenet_v2_classification,0.4744384487676443,crsa
RegNet-64Gf-SEER-INFT_seer,pit_b_224_classification,0.4938430372435463,crsa
RegNet-64Gf-SEER-INFT_seer,googlenet_random,0.01890247678639077,crsa
RegNet-64Gf-SEER-INFT_seer,mixer_b16_224_in21k_classification,0.3811220960700397,crsa
RegNet-64Gf-SEER-INFT_seer,segment_semantic_taskonomy,0.24689145804037316,crsa
RegNet-64Gf-SEER-INFT_seer,RN50_clip,0.5547103457429742,crsa
RegNet-64Gf-SEER-INFT_seer,vit_tiny_patch16_224_random,0.08888395945081558,crsa
RegNet-64Gf-SEER-INFT_seer,nfnet_l0_random,0.10532875111345416,crsa
RegNet-64Gf-SEER-INFT_seer,BiT-Expert-ResNet-V2-Mammal_bit_expert,0.5519002916698151,crsa
RegNet-64Gf-SEER-INFT_seer,RegNet-64Gf-SEER_seer,0.5548339701688576,crsa
RegNet-64Gf-SEER-INFT_seer,mixer_l16_224_classification,0.430822339782419,crsa
RegNet-64Gf-SEER-INFT_seer,BiT-Expert-ResNet-V2-Animal_bit_expert,0.5500281023156627,crsa
RegNet-64Gf-SEER-INFT_seer,densenet121_classification,0.550578957033266,crsa
RegNet-64Gf-SEER-INFT_seer,ViT-S-CLIP_slip,0.32791391645489,crsa
RegNet-64Gf-SEER-INFT_seer,resmlp_36_224_random,0.09418289876453798,crsa
RegNet-64Gf-SEER-INFT_seer,depth_euclidean_taskonomy,0.27829199333734617,crsa
RegNet-64Gf-SEER-INFT_seer,mnasnet1_0_random,0.03634894624300487,crsa
RegNet-64Gf-SEER-INFT_seer,vgg16_random,0.037436400324329974,crsa
RegNet-64Gf-SEER-INFT_seer,BiT-Expert-ResNet-V2-Object_bit_expert,0.5590494579093693,crsa
RegNet-64Gf-SEER-INFT_seer,semnasnet_100_random,0.025069954300646957,crsa
RegNet-64Gf-SEER-INFT_seer,tnt_s_patch16_224_classification,0.41932211068311864,crsa
RegNet-64Gf-SEER-INFT_seer,mobilenetv3_large_100_random,-0.033862999121777655,crsa
RegNet-64Gf-SEER-INFT_seer,swin_base_patch4_window7_224_in22k_classification,0.34389035912661386,crsa
RegNet-64Gf-SEER-INFT_seer,seresnext50_32x4d_random,0.07752231204063101,crsa
RegNet-64Gf-SEER-INFT_seer,regnety_064_random,0.03633684844766585,crsa
RegNet-64Gf-SEER-INFT_seer,ViT-B-SimCLR_slip,0.43395276386717085,crsa
RegNet-64Gf-SEER-INFT_seer,efficientnet_b1_classification,0.46539442697814304,crsa
RegNet-64Gf-SEER-INFT_seer,RegNet-32Gf-SEER_seer,0.5365518589137127,crsa
RegNet-64Gf-SEER-INFT_seer,vit_base_patch32_224_in21k_classification,0.5092911554459045,crsa
RegNet-64Gf-SEER-INFT_seer,ghostnet_100_classification,0.6512987613795808,crsa
RegNet-64Gf-SEER-INFT_seer,jx_nest_tiny_classification,0.5389246598442898,crsa
RegNet-64Gf-SEER-INFT_seer,ViT-B/16_clip,0.42800656378282353,crsa
RegNet-64Gf-SEER-INFT_seer,xcit_nano_12_p16_224_random,0.07281283649025815,crsa
RegNet-64Gf-SEER-INFT_seer,mask_rcnn_R_50_FPN_3x_segmentation,0.5350651801949097,crsa
RegNet-64Gf-SEER-INFT_seer,ViT-L-SLIP-CC12M_slip,0.5448032855283027,crsa
RegNet-64Gf-SEER-INFT_seer,ResNet50-SwAV-BS4096-2x224+6x96_selfsupervised,0.6292105457482753,crsa
RegNet-64Gf-SEER-INFT_seer,coat_lite_tiny_classification,0.6028941715909122,crsa
RegNet-64Gf-SEER-INFT_seer,poolformer_s36_random,0.08621787182138833,crsa
RegNet-64Gf-SEER-INFT_seer,vit_small_patch32_224_in21k_classification,0.43794996383414303,crsa
RegNet-64Gf-SEER-INFT_seer,resnet18_classification,0.4683978142682869,crsa
RegNet-64Gf-SEER-INFT_seer,convnext_base_in22k_classification,0.5841702235709827,crsa
RegNet-64Gf-SEER-INFT_seer,autoencoding_taskonomy,0.06881672227821653,crsa
RegNet-64Gf-SEER-INFT_seer,mixer_b16_224_classification,0.5217995519307238,crsa
RegNet-64Gf-SEER-INFT_seer,resmlp_big_24_224_classification,0.3948250266561654,crsa
RegNet-64Gf-SEER-INFT_seer,mobilenetv3_large_100_classification,0.6535813446618558,crsa
